Sequence,Intermediate Abort,NA,Safety Abort,NA,Other,NA,,,,,
,Sequence Name: ,PGSQ_T1,,,,,,,,,
,No.of Sensors:,,,No.of Valves:,,,,,,,
Sr. No.,Time CDT(s),Component ID,Data Type,Condition,Range/Position,No of Samples for Pass,Event Duration(S),Continuous /Cumulative,Expected Delay(ms),Failure Case Sequence,Current Sequence
1,-12.23,N_EPV_128 HSS,DI,,Close,5,0.007,Continuous,-,PURGE ABORT DI,Purge sequence
2,-12.22,N_EPV_175 HSS,DI,,Close,5,0.007,Continuous,-,PURGE ABORT DI,Purge sequence
3,-12.21,C_EPV_6,DO,,Close,,,,-,,Purge sequence
4,-12.11,C_EPV_6 HSS,DI,,Close,5,0.007,Continuous,-,PURGE ABORT DI,Purge sequence
5,-12.11,N_PT_110,AI,<,7,5,0.007,Continuous,-,PURGE ABORT AI,Purge sequence
6,-12.1,C_EPV_125,DO,,Open,,,,-,,Purge sequence
7,-12.09,C_EPV_125 HSS,DI,,Open,5,0.007,Continuous,-,PURGE ABORT DI,Purge sequence
8,-12.09,N_PT_110,AI,<,7,5,0.007,Continuous,-,PURGE ABORT AI,Purge sequence
9,-11.99,N_EPV_72,DO,,Open,,,,-,,Purge sequence
10,-11.889,N_EPV_72 HSS,DI,,Open,5,0.007,Continuous,-,PURGE ABORT DI,Purge sequence
11,-11.889,N_PT_110,AI,<,7,5,0.007,Continuous,-,PURGE ABORT AI,Purge sequence
12,-11.88,C_EPV_11,DO,,Open,,,,-,,Purge sequence
13,-11.779,C_EPV_11 HSS,DI,,Open,5,0.007,Continuous,-,PURGE ABORT DI,Purge sequence
14,-11.779,N_PT_110,AI,<,7,5,0.007,Continuous,-,PURGE ABORT AI,Purge sequence
15,-11.77,F_EPV_41,DO,,Open,,,,-,,Purge sequence
16,-11.669,F_EPV_41 HSS,DI,,Open,5,0.007,Continuous,-,PURGE ABORT DI,Purge sequence
17,-11.669,N_PT_110,AI,<,7,5,0.007,Continuous,-,PURGE ABORT AI,Purge sequence
18,-11.66,C_EPV_14,DO,,Close,,,,-,,Purge sequence
19,-11.559,C_EPV_14 HSS,DI,,Close,5,0.007,Continuous,-,PURGE ABORT DI,Purge sequence
20,-11.559,N_PT_110,AI,<,7,5,0.007,Continuous,-,PURGE ABORT AI,Purge sequence
21,-11.55,F_EPV_43,DO,,Close,,,,-,,Purge sequence
